_moniteurs_	1
_more	1
_morning	1
_morphineuse_	1
_mémoire_	1
_mémoire_the	1
_mémoires	3
_mémoires_	1
_natures	1
_never	1
_night	1
_no	1
_none_	1
_nostalgie	1
_not_	3
_note_	31
_only_	1
_outward_	1
_paid_	1
_pas_	1
_patois_	1
_personnages	1
_point	1
_potash_	1
_poverty_	2
_precipitate_	1
_prepared_	1
_presumed_	1
_protégé_	2
_protégée_	1
_provided_	1
_public	5
_pupille_	4
_pupilles_	2
_pupilles_the	1
_père	1
_quid	1
_quintessence_	1
_quoted_	1
_real_	1
_rechauffée_	1
_refused	1
_repeats_	1
_resemble_	1
_revue	1
_richard	1
_riposte_	1
_rohanists_	1
_roy	1
_régime_	5
_résumé_	2
_sagesse	1
_salons_	1
_saturation_	1
_saw_	1
_sbirri_	4
_see_	15
_seraphinia	1
_sloping_	1
_soidisant_	1
_souteneur_	2
_souvenirs_	1
_succeeded_	1
_supercheries_	1
_suppositions_	1
_temps_	1
_the	4
_thee_	1
_their_	1
_there	1
_theveneau	1
_they_	1
_thought_	1
_to	1
_touching_	1
_tressette_	1
_trouvaille_	1
_two_	1
_union	1
_universal	1
_valet	2
_veni	1
_vie	3
_was_	1
_we	1
_what_	1
_who_	2
_witchcraft_	1
_with	1
_without	1
_word_	1
_à	2
_écrasé_	1
a	1666
aback	1
abandon	6
abandoned	6
abandoning	1
abasement	2
abash	1
abbey	1
abbeys	1
abbot	1
abbé	8
abide	1
abilities	1
ability	8
abject	3
abjured	1
able	20
abode	6
abolish	1
abolition	4
abominable	1
abortive	1
abound	1
about	54
above	16
abovementioned	2
abracadabra	2
abraham	2
abroad	2
abrupt	1
absconding	1
absence	3
absent	2
absolute	7
absolutely	8
absolution	1
absorbed	1
abstemiousness	1
abstention	1
abstractions	1
abstruse	1
absurd	9
absurdity	2
abundantly	2
abuse	5
abused	1
abuses	1
abusive	2
abyss	2
academician	2
academicians	1
académie	1
accent	2
accents	1
accentuate	1
accentuated	1
accept	18
acceptance	1
accepted	21
accepting	2
access	14
accessed	1
accessible	1
accession	1
accessories	1
accessory	1
accident	5
accidental	1
acclaim	1
acclaimed	2
accompanied	13
accompany	3
accomplices	4
accomplish	3
accomplished	10
accomplishing	1
accord	4
accordance	7
accorded	3
according	48
accordingly	27
accosting	1
account	42
accounted	1
accounting	1
accounts	7
accuracy	9
accurate	1
accusation	2
accusations	5
accuse	1
accused	12
accusers	1
accustomed	2
acharat	3
achievements	1
achillesheelthe	1
acid	1
acknowledge	6
acknowledged	6
acknowledging	1
acoustics	1
acquaintance	13
acquaintances	8
acquainted	11
acquired	20
acquiring	1
acquit	1
acquittal	6
acquitted	3
acquittedthe	1
act	8
acta	1
acted	1
actedst	1
acting	1
action	19
actions	3
active	6
activities	1
actor	1
actors	1
actress	1
actresses	1
acts	3
actual	3
actually	9
adam	5
adapted	4
add	3
added	9
addicted	3
adding	1
addition	2
additional	3
additions	1
address	1
addressed	4
addresses	1
adds	3
adept	4
adepts	4
adhered	1
adheredhe	1
adherent	1
adherents	7
adhering	1
adieu_	1
administered	1
administering	1
admirably	2
admiration	15
admired	1
admirer	2
admirers	10
admiring	3
admission	5
admit	9
admits	1
admittance	2
admitted	17
admitting	2
ado	1
adopt	5
adopted	15
adopting	3
adopts	1
adoration	1
adore	1
adored	1
adorn	1
adorned	3
adoré_	1
adressée	2
adrift	1
adults	1
advance	7
advanced	4
advances	2
advantage	20
advent	1
adventure	2
adventurer	9
adventurers	2
adventurerswho	1
adventures	10
adventuress	1
adversaries	1
adversary	3
adversity	3
advertise	1
advertised	1
advertisement	1
advertiser_	5
advertising	1
advertizer	1
advice	11
advisable	2
advised	10
advising	1
advocate	1
advocates	2
affair	55
affairare	1
affairs	10
affairthat	1
affect	1
affectation	1
affected	2
affecting	1
affection	3
affectionate	1
affidavit	1
affiliated	4
affiliation	2
affirm	1
affirmed	2
affirming	1
affirms	1
affix	1
affixed	1
affluence	1
afford	1
afforded	1
affright	1
affront	1
affronting	1
afoot	1
afraid	5
afresh	2
africa	2
after	108
afternoon	1
afterwards	32
afterwards_	1
again	18
again30	1
against	71
agate	1
age	34
aged	4
agent	10
agents	2
ages	6
agitated	5
agitation	2
agliata	7
agree	11
agreeable	2
agreed	6
agreement	18
agrippa	2
ah	1
ahead	1
aid	11
aided	2
aids	1
ailments	1
aim	4
aims	7
air	12
aix	3
aixenprovence	1
aixlesbains	1
alan	1
alarm	1
alarmed	4
alarming	1
alas	3
alb	1
alba	3
albertus	2
alchemic	1
alchemical	3
alchemist	10
alchemists	15
alchemy	31
alert	3
alessandro	2
alicante	1
alighted	3
alike	13
alive	9
all	305
all32	1
allay	2
allayed	1
alleged	2
allegiance	1
alleviate	1
alley	1
allhe	1
allied	1
allotted	1
allow	1
allowed	10
allude	1
alluded	1
allurements	1
alluring	1
allusion	1
ally	1
almighty	7
almoner	8
almonry	1
almost	24
alms	4
alméras	1
aloft	1
alone	30
along	9
aloud	2
alphabet	1
already	17
alsace	3
alsacehis	1
alsatian	1
alsatians	1
also	56
altar	3
altars	2
altauz	2
alteration	1
altercations	1
altered	1
alternate	1
alternative	3
alternatives	1
althotas	12
althotas33	1
althotasto	1
although	1
altogether	19
always	42
am	12
amateur	1
amazed	4
amazement	3
amazing	7
ambassador	9
ambiguous	2
ambition	7
ambitionmarie	1
ambitions	1
amelioration	1
america	1
american	3
amesmer	1
amiable	4
amis	5
among	20
amongst	4
amorous	1
amount	2
amounted	1
amounting	2
amounts	1
ample	1
amply	1
amsterdam	2
amuse	2
amused	3
amusement	4
amusing	2
an	320
analysis	1
analyzed	2
anathema	2
anathematized	2
ancestors	1
ancestral	1
anchor	1
anchorage	1
ancient	3
and	1892
andas	1
andconsidering	1
andrew	1
andwhat	1
anecdote	4
anecdotes	2
anecdotiques	1
angel	2
angelo	7
angels	7
angelsit	1
anger	2
anglais	1
